story_name,text_file,v3_path,event_id,event_type,time_order,start,end,text
CH_002_牛郎织女,datasets/ChineseTales/texts/CH_002_牛郎织女.txt,datasets/ChineseTales/json_v3/CH_002_牛郎织女_v3.json,05828210-380c-4e6f-936c-d5164c1524f6,OTHER,1,0,214,"相传织女是天帝的孙女，或说是王母娘娘的外孙女，这都用不着去管它了 ，总之，是有这么一个仙女，住在银河的东边，用了一种神奇的丝，在织布机上织出了层层叠叠的美丽云彩，随着时间和季节的不同而变幻它们的颜色，叫做"" 天衣""，意思就是给天做的衣裳。天也和人一样,是要穿衣裳的，虽然碧蓝如洗的赤裸青天自有它的美丽。做这种工作，除了织女而外，还有别的六位年轻的仙女，都是织女的姐妹，也都是天上的织造能手；织女在他们当中，是最勤勉、努力的一个。"
CH_002_牛郎织女,datasets/ChineseTales/texts/CH_002_牛郎织女.txt,datasets/ChineseTales/json_v3/CH_002_牛郎织女_v3.json,38bb88d7-ed7a-402f-a2b1-6baa1c0f5840,VILLAINY,2,215,297,隔着那条清浅的闪光的银河，就是人间。在那里住着一个牧牛郎，叫做牛郎，他的父母早死去了，常受哥嫂的虐待。終于，他被哥嫂不公平地分家出去，给了他一头老牛，叫他自立门户。
CH_002_牛郎织女,datasets/ChineseTales/texts/CH_002_牛郎织女.txt,datasets/ChineseTales/json_v3/CH_002_牛郎织女_v3.json,262880a0-126d-4734-9786-dcb806220381,LACK,4,363,401,可是，除了那头不会说话的老牛以外，冷清的家里只有他一个人，日子过得相当寂寞。
CH_002_牛郎织女,datasets/ChineseTales/texts/CH_002_牛郎织女.txt,datasets/ChineseTales/json_v3/CH_002_牛郎织女_v3.json,317d5e4b-255a-4acb-a23d-206a5e4afeb2,OTHER,3,298,363,靠了老牛的帮助和他自己的努力劳动，他在荒野地上披荆斩棘，耕田种地，盖造屋子，一 两年后，居然菅建了一个小小的家，勉强可以维持生活。
CH_002_牛郎织女,datasets/ChineseTales/texts/CH_002_牛郎织女.txt,datasets/ChineseTales/json_v3/CH_002_牛郎织女_v3.json,51923dc8-acf0-477d-b540-36baccc032fd,GUIDANCE,5,402,514,"有一天，老牛忽然口吐人言，告诉他，织女和别的仙女将要到银河去洗澡,叫他趁她们洗澡的时候，夺取织女的衣裳，她就可以成为他的妻子了。惊异的牛郎终于听从了老牛的话，到时候悄悄便到银河岸边的芦牽丛里躲着，等候织女和她的女伴们的来临。"
CH_002_牛郎织女,datasets/ChineseTales/texts/CH_002_牛郎织女.txt,datasets/ChineseTales/json_v3/CH_002_牛郎织女_v3.json,fbbacb08-5f24-480e-8fdb-3a9fed2da817,LIQUIDATION,6,515,753,"不一会儿，织女和美丽的仙女们果然来到银河洗操，脱下轻罗衣裳，纵身跃入清流，顷刻间，绿波荡漆的水面上就好像续开了朵朵的白莲。牛郎从芦苇里跑出来，从青草岸上仙女们的衣裳堆里夺取了织女的衣裳，惊骇的仙女们乱纷纷地急忙穿上自己的衣裳，像飞乌般地四下惊飞逃散,银河里就只剩下那个不能逃走的可怜织女。牛郎对她说，她要答应做他的妻子，他才能还给她衣裳。织女拿头发掩住她的胸脯，没法子只得含羞地点头（其实她对这虽然有点鲁莽可是却勇敢的少年也早已经动了一点爱念了）；这样，她就真的做了牛郎的妻。"
CH_002_牛郎织女,datasets/ChineseTales/texts/CH_002_牛郎织女.txt,datasets/ChineseTales/json_v3/CH_002_牛郎织女_v3.json,2865c3b3-8f6e-4247-afb4-ed81b0d3cd98,VILLAINY,8,819,908,"哪知道天帝和王母娘娘查明了这回事情，都非常震怒，马上派遣天神，把织女捉回天庭问罪。王母娘娘怕天神办事疏虞，还亲自跟来观察动静。
织女和丈夫、孩子惨痛地分离，被天神押解着回天庭去。"
CH_002_牛郎织女,datasets/ChineseTales/texts/CH_002_牛郎织女.txt,datasets/ChineseTales/json_v3/CH_002_牛郎织女_v3.json,6317923a-117f-4f21-a69d-5dd96f69b92a,LIQUIDATION,7,754,818,他们结婚以后，男耕女织，相亲相爱，生活过得非常美满幸福；不久生下了一儿一女，都是可爱的孩子。夫妻俩满以为能够終身厮守，白买到老。
CH_002_牛郎织女,datasets/ChineseTales/texts/CH_002_牛郎织女.txt,datasets/ChineseTales/json_v3/CH_002_牛郎织女_v3.json,57c3dded-bfbd-4335-aa4a-413524a8c7d5,STRUGGLE,9,1413,1549,"""爹爹，我们拿这粪瓢来舀干天河的水。""小女儿終于揩干了眼泪，瞪着一对小眼睛, 这么天真而又倔强地提议。
""对 ,我们来舀干天河的水。""悲愤的牛郎毫不犹豫地答应了。
说着，他果然拿起粪瓢，奋勇地一瓢一瓢地去舀那天河的水。他舀得倦乏了，儿女们又合力用他们稚弱的小手来帮爹爹自。"
CH_002_牛郎织女,datasets/ChineseTales/texts/CH_002_牛郎织女.txt,datasets/ChineseTales/json_v3/CH_002_牛郎织女_v3.json,098695bb-91a7-4a58-b32d-46325ac17351,VILLAINY,9,908,1055,"牛郎见爱妻去了，悲痛万分，立刻用箩筐挑了儿女们，连夜跟踪追去。他原打算渡过那清浅的银河, 一直就到天庭，哪知道到了银河的地方，却早已消逝了银河的踪影,抬头一看, 原来银河已经被王母娘娘用法力搬到了天上。在苍蓝色的夜空中，银河，还是那么一秘清浅的闪光的水流，可是已经仙凡异路，再也不能够接近它了。"
