story_name	text_file	summary
CH_002_牛郎织女	datasets/ChineseTales/texts/CH_002_牛郎织女.txt	The story follows织女, a celestial weaver, and牛郎, a mortal cowherd, who fall in love and marry despite being separated by the Milky Way. Their union is shattered when the Queen Mother intervenes, forcing them apart. Moved by their enduring love, the heavens allow them to reunite once a year on the seventh night of the seventh month via a magpie bridge. Their tale is immortalized as the stars织女星 and牵牛星, symbolizing eternal, unyielding love.
CH_003_孟姜女哭长城	datasets/ChineseTales/texts/CH_003_孟姜女哭长城.txt	The story follows Qin Shi Huang's quest for immortality, which leads to a cryptic warning about his dynasty's downfall. Meanwhile, the emperor orders the construction of the Great Wall, sparking a tragic tale of Wan Xilaing, a fugitive forced into labor, and Meng Jiangnü, a woman who searches for her husband. After learning of his death, she mourns so fiercely the wall collapses, confronts the emperor, and ultimately sacrifices herself, becoming a celestial being. The narrative weaves themes of tyranny, love, and rebellion.
CH_004_梁山伯与祝英台	datasets/ChineseTales/texts/CH_004_梁山伯与祝英台.txt	Zhu Yingtai, a clever and spirited girl from a strict family, disguises herself as a boy to attend school and meets Liang Shanbo, with whom she forms a deep bond. When she must return home, her father arranges a marriage to a wealthy suitor, leading to her heartbreak and Liang's tragic death. Their love story culminates in their deaths and a supernatural reunion, symbolizing their eternal connection.
CH_005_白蛇传	datasets/ChineseTales/texts/CH_005_白蛇传.txt	The story follows a white snake, Bai Suzhen, who transforms into a human to repay a debt to a shepherd who saved her. After marrying Xu Xian and facing persecution from the monk Fa Hai, she floods the area to rescue him, leading to her imprisonment under a tower. Her son's success as a状元 eventually frees her, and the couple achieves enlightenment, flying away together. Key themes include redemption, love, and the clash between mortal and supernatural realms.
CH_006_花木兰从军	datasets/ChineseTales/texts/CH_006_花木兰从军.txt	Hua Mulan, a skilled warrior, disguises herself as a man to replace her aging father in the army during a time of war. After years of bravery and victories, including capturing an enemy leader, she returns home to care for her family, choosing humility over glory. Her story becomes legendary, celebrated for her loyalty, courage, and filial devotion.
CH_007_嫦娥奔月	datasets/ChineseTales/texts/CH_007_嫦娥奔月.txt	In ancient times, the hero Hou Yi shot down nine of ten scorching suns to save humanity, leaving one to govern the day. When his wife Chang'e swallowed the elixir of immortality to prevent the treacherous disciple Feng Meng from stealing it, she flew to the moon, inspiring the Mid-Autumn Festival. Hou Yi, heartbroken, chased her futilely, and villagers honored her memory by celebrating the lunar harvest festival. The tale highlights sacrifice, loyalty, and the origins of cultural tradition.
CH_008_盘古开天	datasets/ChineseTales/texts/CH_008_盘古开天.txt	In the primordial chaos, Pangu, a cosmic giant, splits the dark, undifferentiated universe with his axe, separating heaven and earth. He stands between them, growing as they expand for 18,000 years until he dies, his body transforming into natural elements like mountains, rivers, and stars, creating a vibrant, ordered world. His sacrifice ensures the cosmos remains divided and beautiful.
CH_009_女娲补天	datasets/ChineseTales/texts/CH_009_女娲补天.txt	"The story recounts the creation of the world by Pangu, whose body formed natural elements, followed by Nüwa shaping humans from clay and establishing marriage to ensure human continuity. After a catastrophic battle caused the sky to collapse and floods to ravage the earth, Nüwa sacrificed herself to mend the sky with five-colored stones and stabilize the world, ultimately restoring harmony. Her deeds left lasting marks, such as the tilted sky and rivers flowing east, and she is revered as the ""Mother of Humanity"" and ""Marriage Goddess."""
CH_010_沉香救母	datasets/ChineseTales/texts/CH_010_沉香救母.txt	"In ancient times, the goddess Nüwa crafted the mystical Potala Lamp, which became a coveted treasure. After being gifted to the Queen Mother of Heaven, the lamp was eventually claimed by her daughter Sanmǔ, who defied heavenly laws by marrying a mortal. Their son, Chénxiāng, later rescued her by defeating the god Erlang and splitting the mountain to free her, symbolizing filial devotion and the triumph of love over divine decree. The story concludes with Sanmǔ's redemption and the creation of the ""Filial Son Peak"" as a testament to their bond."
CH_011_精卫填海	datasets/ChineseTales/texts/CH_011_精卫填海.txt	"The story recounts the tragic tale of Nüwa, the daughter of the Yan Emperor, who drowned in the East Sea while attempting to visit it despite her father's absence. Her spirit transformed into the Jingwei bird, which vowed to fill the sea with stones and branches to avenge her death and prevent future tragedies. Despite the sea's mockery, Jingwei's relentless determination symbolizes unwavering resolve, inspiring the enduring metaphor ""Jingwei fills the sea"" to represent heroic, persistent efforts against insurmountable odds."
CH_012_后羿射日	datasets/ChineseTales/texts/CH_012_后羿射日.txt	In ancient times, ten suns, each embodied as a bird, caused catastrophic heat and destruction when they rose together, devastating Earth and its creatures. The hero Hou Yi, a skilled archer, bravely shot down nine suns, leaving one to restore balance and sustain life. His act saved humanity and nature, earning him divine recognition as a celestial guardian. The story underscores themes of sacrifice, harmony, and the cyclical renewal of life through the sun's return.
CH_013_哪吒闹海	datasets/ChineseTales/texts/CH_013_哪吒闹海.txt	In the late Shang Dynasty, General Li Jing of Chantang Garrison marries Yinshi, and their third son, Nezha, is born with divine artifacts from Taoist priest Taibitian. Nezha's reckless battles with sea dragons provoke a deadly conflict, leading Li Jing to punish him, but Nezha's resurrection and heroic deeds in the war against King Zhou restore his family's honor. Nezha, along with his brothers Jin吒 and Mu吒, becomes a key figure in the rebellion, ultimately achieving immortality and reconciling with his father.
CH_014_武松打虎	datasets/ChineseTales/texts/CH_014_武松打虎.txt	"Wu Song, a strong and defiant traveler, drinks excessive amounts of potent ""outdoor reverse"" wine at an inn, ignoring warnings about its strength and the danger of the nearby Jingyang Ridge. After consuming fifteen bowls, he ignores a taverner's advice and ventures onto the mountain, where he confronts a ferocious tiger. In a fierce battle, Wu Song defeats the beast by outmaneuvering its attacks and delivering a fatal blow, ultimately proving his bravery and strength."
CH_015_大禹治水	datasets/ChineseTales/texts/CH_015_大禹治水.txt	"The story recounts the legendary efforts of Yao, Shun, and Yu to control the Yellow River's floods. After failed attempts by Gun, Shun appointed Yu, who innovatively diverted water to the sea using疏导 methods, overcoming the disaster through perseverance and sacrifice. Yu's 13-year campaign, marked by his ""three times passing his home without entering,"" culminated in flood control and agricultural prosperity, establishing him as the first Xia dynasty ruler."
CH_016_愚公移山	datasets/ChineseTales/texts/CH_016_愚公移山.txt	The story follows Yu Gong, an elderly man determined to remove two mountains blocking his path, despite skepticism from his wife and the智叟. He mobilizes his family and neighbors, persistently moving earth to the sea, which eventually moves the gods to assist, relocating the mountains and clearing the path. The tale highlights perseverance and the triumph of collective effort over insurmountable obstacles.
CH_017_田螺姑娘	datasets/ChineseTales/texts/CH_017_田螺姑娘.txt	In the Jin Dynasty, the orphaned Shao Rui, raised by compassionate neighbors, grows up to live independently through hard work. He discovers a magical giant snail, which turns out to be the celestial Shu Nu, who secretly cooks for him to help him prosper. After revealing her divine identity, Shu Nu departs, leaving him a snail shell to store grain. Grateful, Shao Rui eventually thrives, marries, becomes a county magistrate, and establishes a temple to honor Shu Nu's aid.
CH_018_聚宝盆	datasets/ChineseTales/texts/CH_018_聚宝盆.txt	In early Ming Dynasty Shandong, a famine forces farmer Huā Liánɡ and his family to migrate, where his wife Liánghuā’s skill in making noodles earns her a reputation. They discover a magical pot that multiplies food, using it responsibly to sustain their family and aid neighbors. After their deaths, their sons’ greed over the pot leads to tragedy, as the brothers’ attempts to exploit it result in their demise, while the youngest, who avoids greed, loses the pot, leaving the family to live modestly.
CH_019_七仙女和仙浴潭	datasets/ChineseTales/texts/CH_019_七仙女和仙浴潭.txt	"The story follows seven celestial仙女 who seek a tranquil retreat and discover the ""Heavenly Bath Pool,"" where they encounter a mortal family with seven sons. Moved by their sincerity and devotion, the仙女 agree to marry the brothers, but to evade divine punishment, they transform into seven rocks, their forms immortalized in the landscape. The tale blends romance, sacrifice, and the legend of the ""Seven Fairy Rocks,"" symbolizing eternal love and the union of heaven and earth."
CH_021_叶限(中国灰姑娘)	datasets/ChineseTales/texts/CH_021_叶限(中国灰姑娘).txt	In ancient times, Ye Xian, a clever girl mistreated by her stepmother, was aided by a magical golden fish that granted her wealth. After the fish was killed by her stepmother, a deity gifted her a fish bone to fulfill wishes, leading to her rise as a queen in the foreign kingdom of Tuo Han. However, the kingdom’s greed and the fish bone’s eventual loss caused disaster, while Ye Xian’s stepmother and sister met tragic ends, leaving a shrine for prayers.
CH_022_画皮	datasets/ChineseTales/texts/CH_022_画皮.txt	A scholar named Wang rescues a beautiful woman fleeing a cruel marriage, only to discover she is a demon disguised as a human. After a道士 warns him, Wang confronts the demon, who kills him by stealing his heart. A madman's bizarre intervention—having Wang's wife consume the demon's saliva—revives Wang, revealing the moral that humans foolishly mistake demons for beauty and ignore warnings. The story critiques greed and the consequences of failing to discern truth from illusion.
CH_023_劳山道士	datasets/ChineseTales/texts/CH_023_劳山道士.txt	A scholar named Wang seeks spiritual enlightenment on Mount Laoshan, enduring grueling labor under a Daoist master. During a night, the master demonstrates supernatural wonders, including a moon made of paper and a moon goddess, but refuses to teach him magic. When Wang later attempts the wall-piercing trick at home, it fails due to his lack of sincerity, leading to humiliation. The story critiques those who pursue power without genuine humility, warning of the consequences of greed and superficial ambition.
CH_024_促织(蟋蟀)	datasets/ChineseTales/texts/CH_024_促织(蟋蟀).txt	In the Ming Dynasty, a poor scholar named Cheng Ming is forced to collect crickets for the imperial tribute, leading to his financial ruin. After years of struggle, he discovers a powerful cricket that brings him sudden wealth and social status, despite initial hardships. The story critiques the corrupt tribute system and highlights how a simple cricket can transform lives, ending with a moral on the emperor's influence and bureaucratic greed. The cricket's success even saves Cheng's son and elevates his family's fortunes.
CH_025_东郭先生与狼	datasets/ChineseTales/texts/CH_025_东郭先生与狼.txt	Hsieh Chien-tzu, a Jin state official, encounters a wounded wolf during a hunt and shoots it, but the wolf escapes. Tung Tso, a scholar lost in the wilderness, reluctantly hides the wolf in a bag to avoid offending Hsieh Chien-tzu, despite his moral conflict. The wolf betrays Tung Tso, leading to a confrontation where a wise old man intervenes, tricking the wolf into being recaptured and killed, criticizing Tung Tso for his naivety in saving a treacherous creature.
CH_026_聂小倩	datasets/ChineseTales/texts/CH_026_聂小倩.txt	Ning Caichen, a virtuous man from Zhejiang, stays in a temple where he meets a mysterious swordsman, Yan Chixia, and later encounters Nie Xiaoqian, a ghost girl tormented by a demon. After learning her tragic backstory, Ning helps her escape by retrieving her remains and protecting her from supernatural threats. Their bond leads to a peaceful life together, culminating in Ning's success and a family, while the demon is vanquished through a magical sword. The story highlights themes of integrity, supernatural conflict, and redemption.
CH_027_成仙	datasets/ChineseTales/texts/CH_027_成仙.txt	Two scholars, Zhou and Cheng, share a lifelong friendship despite their differing circumstances. After Zhou faces legal persecution due to a feud with a powerful family, Cheng risks everything to clear his name, ultimately vanquishing the corrupt magistrate. Their bond deepens as Zhou confronts his wife's infidelity in a dream, only to discover Cheng has vanished, leaving behind a magical legacy that transforms their lives through a mysterious letter turning into gold. The story explores loyalty, justice, and the transformative power of friendship.
